Categoría,Nombre,Especificaciones,Precio
Productos Hidratantes,Ampolleta de Vitamina E,"Su fórmula con bases siliconadas devuelve brillo, estructura y suavidad al cabello. Ideal para aplicar después de un corte.",$200 MXP
Productos Hidratantes,Kit Rich Nutrition,"Incluye Shampoo de 300 ml, mascarilla de 150 ml y crema para peinar 150 ml. Nutre y repara la fibra capilar, consiguiendo un cabello suave y brillante. Nutrición profunda y duradera.","$2,000 MXP"
Productos Hidratantes,Shampoo Rich Nutrition,"Presentación de 1000 ml. Ideal para hidratar, nutrir y reparar la fibra capilar desde el interior, dejando el cabello suave y brillante.","$1,400 MXP"
Anti Frizz,Kit Extra Liss,"Aporta definición y brillo máximo para un look liso y duradero. Incluye Shampoo de 300 ml, mascarilla de 150 ml y crema para peinar 150 ml. Contiene complejo activo alisador, hidratante y restaurador; protege contra agresión térmica de secadores y planchas.","$2,000 MXP"
Anti Frizz,Shampoo Extra Liss,"Presentación de 1000 ml. Proporciona suavidad y larga duración a los lisos, con complejo activo alisador hidratante. Protege contra daño de secadores y planchas.","$1,400 MXP"
Anti Frizz,Mascarilla Rich Nutrition,"Presentación de 500 ml. Ideal para hidratar, nutrir y reparar el cabello seco y dañado.","$1,400 MXP"
Matizador,Shampoo White Charge,"Presentación de 300 ml. Corrector con pigmentos violetas y azules para neutralizar matices amarillos y anaranjados. Recomendado para cabellos canosos, decolorados y rubios.",$900 MXP
Seda / Protector de Calor,Aceite de Moringa,"Presentación de 100 ml. Aporta propiedades antienvejecimiento al cabello, para un aspecto rejuvenecido y saludable.","$1,000 MXP"
